Date,Product Category,Region,Product Name,Value
14-08-2023,Clothing,Northeast,now,1313.498586
08-08-2023,Clothing,West,around,2877.830443
24-05-2023,Clothing,Southwest,quality,5094.694879
05-09-2023,Books,Southeast,a,5773.480613
06-06-2023,Books,Southwest,star,5895.950969
23-05-2023,Electronics,Northeast,capital,453.3316539
22-11-2022,Electronics,West,vote,2094.644575
21-01-2023,Home Appliances,West,beautiful,8370.229905
30-03-2023,Electronics,Southwest,have,4777.708156
18-07-2023,Clothing,West,teacher,3235.12668
13-12-2022,Home Appliances,Northeast,court,7522.441249
14-02-2023,Toys,Northeast,treat,930.1847799
04-08-2023,Toys,Southwest,decade,7389.379474
17-09-2023,Clothing,Northeast,which,8081.517463
06-02-2023,Books,Southwest,continue,2434.664011
23-04-2023,Books,Southwest,too,2367.254786
03-11-2022,Home Appliances,Southeast,it,3995.576393
14-02-2023,Electronics,Midwest,she,1881.115515
28-06-2023,Books,Northeast,table,1526.01904
31-01-2023,Home Appliances,Northeast,if,1044.109563
27-05-2023,Books,Southeast,seven,1620.332311
26-07-2023,Home Appliances,Northeast,right,9703.408229
09-08-2023,Clothing,Southeast,wrong,2982.025919
18-02-2023,Electronics,West,else,522.7102771
04-07-2023,Books,Southeast,drive,1643.594866
04-07-2023,Home Appliances,West,firm,7805.43421
17-05-2023,Home Appliances,Northeast,notice,5856.517308
18-03-2023,Books,Northeast,quite,5935.745516
28-11-2022,Books,West,industry,4340.925817
08-04-2023,Electronics,Midwest,song,4816.995291
19-09-2023,Home Appliances,Southeast,attention,2068.620093
12-09-2023,Books,Southwest,near,5501.982793
29-01-2023,Electronics,Midwest,field,8994.885647
23-12-2022,Toys,West,measure,5660.50052
20-05-2023,Clothing,Midwest,machine,7358.411337
20-03-2023,Clothing,Midwest,either,5857.613014
23-02-2023,Books,Southeast,maybe,5496.192339
29-03-2023,Toys,Southeast,community,2839.582533
18-12-2022,Electronics,West,side,1520.064153
21-10-2022,Clothing,Northeast,child,5550.703099
22-02-2023,Home Appliances,Southeast,this,3740.18603
03-09-2023,Books,Southwest,bring,8853.75089
12-11-2022,Books,Southwest,reduce,3614.409998
08-02-2023,Toys,West,page,6775.479045
15-04-2023,Home Appliances,Midwest,walk,6152.008889
24-01-2023,Clothing,Midwest,police,9682.480425
23-01-2023,Electronics,Southeast,class,9692.238607
25-09-2023,Electronics,Midwest,view,3285.316135
20-02-2023,Clothing,Midwest,not,8092.543324
19-10-2022,Toys,West,social,6516.193975
13-06-2023,Books,West,inside,3717.395761
04-02-2023,Home Appliances,Southeast,world,2525.806405
14-10-2023,Electronics,Northeast,population,812.4426949
08-09-2023,Clothing,Northeast,citizen,9434.96618
05-04-2023,Books,Northeast,majority,4192.360961
11-04-2023,Toys,Southeast,skill,4305.510028
22-11-2022,Clothing,West,place,7813.087443
08-06-2023,Home Appliances,Southwest,as,231.1417215
23-04-2023,Clothing,Northeast,order,369.3680302
04-04-2023,Electronics,Midwest,media,486.0051086
04-03-2023,Books,Southwest,her,3496.139367
14-03-2023,Electronics,Midwest,meet,9920.788962
03-07-2023,Clothing,Northeast,institution,7876.676541
02-10-2023,Toys,Southeast,any,3094.496307
07-10-2023,Books,Northeast,tree,9178.036919
21-12-2022,Electronics,West,recognize,6430.591061
02-04-2023,Toys,Southeast,sign,5916.004479
01-10-2023,Toys,Northeast,suffer,9723.767734
04-11-2022,Books,Southwest,agency,256.8864753
08-02-2023,Home Appliances,Northeast,camera,5870.957478
15-02-2023,Toys,Northeast,shoulder,1105.824973
05-05-2023,Electronics,Southwest,leader,5025.231126
04-08-2023,Home Appliances,Northeast,forward,146.9681546
26-04-2023,Toys,Northeast,each,6918.182153
10-07-2023,Toys,Southwest,activity,3252.849266
07-05-2023,Toys,West,by,7046.727901
06-04-2023,Electronics,Southeast,number,7489.450835
15-02-2023,Home Appliances,Southeast,charge,1638.896921
13-03-2023,Books,Southeast,draw,4021.023626
30-10-2022,Toys,Northeast,husband,8959.0954
04-10-2023,Toys,Southeast,scene,5756.390978
03-04-2023,Books,Southeast,hundred,7078.808976
18-05-2023,Home Appliances,West,determine,709.4790894
27-09-2023,Books,Southeast,yeah,7092.997155
13-10-2023,Books,West,off,4009.640131
15-09-2023,Clothing,Southeast,only,699.8517623
02-01-2023,Electronics,Southwest,hot,2168.202032
26-05-2023,Books,West,language,556.9633553
06-12-2022,Home Appliances,Midwest,friend,926.7828046
04-10-2023,Toys,Southwest,reason,1282.808426
14-01-2023,Electronics,West,challenge,6881.137406
23-12-2022,Books,Southwest,low,2138.498737
24-05-2023,Electronics,West,somebody,3875.218011
14-08-2023,Toys,Southeast,animal,7004.405204
04-02-2023,Books,Midwest,note,9704.145482
18-01-2023,Toys,Southwest,ball,788.2096915
25-03-2023,Books,Southwest,certainly,1844.880768
14-10-2023,Home Appliances,Southwest,approach,8337.279553
31-07-2023,Books,West,relate,955.3242
18-08-2023,Books,Southwest,beat,8825.975322
19-10-2022,Books,Southeast,may,7956.20051
22-04-2023,Clothing,Southwest,customer,1070.39414
20-02-2023,Home Appliances,Southwest,write,5941.636509
17-05-2023,Books,Midwest,guess,4756.877389
14-06-2023,Books,Midwest,letter,9573.923106
10-06-2023,Home Appliances,West,own,7765.166107
06-07-2023,Toys,Southeast,though,8802.22701
03-05-2023,Toys,Northeast,free,287.4388525
01-04-2023,Toys,Southwest,there,4318.853291
14-11-2022,Toys,Southwest,large,5281.004401
11-07-2023,Toys,Northeast,boy,1971.126794
04-05-2023,Clothing,Southwest,different,4994.843985
26-11-2022,Electronics,West,represent,5065.258816
22-10-2022,Toys,Southwest,change,6230.437368
28-06-2023,Toys,Southeast,worry,9487.192377
20-07-2023,Clothing,Southeast,subject,9334.203561
16-01-2023,Home Appliances,Southeast,option,931.32142
12-04-2023,Home Appliances,Midwest,baby,4802.817459
14-05-2023,Clothing,Northeast,born,7040.941748
20-08-2023,Home Appliances,West,trade,2830.715295
06-06-2023,Toys,Southwest,claim,9288.093826
26-10-2022,Toys,Midwest,since,2315.949111
17-11-2022,Clothing,West,type,327.9955193
05-12-2022,Electronics,Southwest,interest,7029.079077
16-01-2023,Electronics,Northeast,law,7141.799087
30-05-2023,Electronics,Southeast,real,7269.969257
14-01-2023,Home Appliances,West,production,3662.790377
11-02-2023,Electronics,West,work,699.5220685
11-10-2023,Books,Southeast,civil,794.6142465
22-11-2022,Electronics,Southeast,prepare,9932.938757
08-07-2023,Clothing,Southeast,management,9212.920994
20-01-2023,Home Appliances,Southwest,house,7761.929006
20-05-2023,Home Appliances,Southeast,to,4449.832599
20-12-2022,Home Appliances,Southeast,art,7079.111296
10-12-2022,Electronics,Northeast,room,9919.433668
21-10-2022,Toys,Northeast,audience,4314.786868
22-03-2023,Home Appliances,Northeast,finally,2371.767859
06-03-2023,Home Appliances,Southeast,difficult,3979.84846
11-02-2023,Electronics,West,its,4857.959583
31-03-2023,Books,Southwest,entire,9638.128803
24-02-2023,Electronics,Midwest,line,328.167458
07-01-2023,Clothing,Northeast,raise,1136.745303
22-07-2023,Books,Midwest,behavior,6020.317526
05-11-2022,Electronics,Southwest,score,8313.985655
18-07-2023,Books,Southwest,lay,4100.610641
12-03-2023,Toys,Northeast,half,2396.280877
30-10-2022,Home Appliances,Northeast,reveal,249.4711745
30-08-2023,Clothing,Midwest,doctor,3679.494281
01-05-2023,Electronics,Southeast,recently,624.6107882
19-06-2023,Toys,West,price,419.4844663
25-02-2023,Electronics,Midwest,speak,6817.85136
22-11-2022,Toys,Southeast,major,1210.446917
29-03-2023,Electronics,West,process,5914.615072
02-05-2023,Toys,West,their,5705.400456
12-10-2023,Electronics,Midwest,color,3272.224782
14-10-2023,Clothing,Midwest,necessary,9190.328247
03-03-2023,Home Appliances,Midwest,still,2003.623951
18-05-2023,Electronics,Southeast,pressure,2030.662942
23-02-2023,Clothing,Midwest,include,7281.334321
27-07-2023,Clothing,Southwest,partner,2577.208528
21-06-2023,Books,Midwest,our,4627.668599
04-01-2023,Home Appliances,Midwest,evidence,7044.262378
09-07-2023,Home Appliances,Midwest,foreign,5041.59455
09-04-2023,Toys,Southeast,various,6521.658708
24-06-2023,Electronics,Southeast,eight,286.3747382
29-12-2022,Home Appliances,Southeast,contain,1779.968424
17-03-2023,Home Appliances,Northeast,experience,3619.242563
21-04-2023,Toys,West,listen,2490.420679
03-11-2022,Books,Northeast,spend,2623.701982
07-04-2023,Toys,Northeast,talk,9848.022635
28-11-2022,Home Appliances,Midwest,ok,3863.480143
02-01-2023,Books,Midwest,then,3226.773652
08-11-2022,Books,Midwest,stop,5519.317163
30-03-2023,Electronics,Northeast,couple,7487.261575
15-10-2022,Electronics,Southeast,none,2505.021209
07-09-2023,Electronics,Southeast,knowledge,1668.425035
29-10-2022,Home Appliances,Southeast,run,9568.922626
17-11-2022,Toys,Southwest,door,2279.473193
06-03-2023,Books,West,Mr,1763.683913
06-06-2023,Books,Northeast,consider,8259.971204
07-07-2023,Electronics,Southeast,from,7582.785829
21-11-2022,Books,Northeast,best,958.0031724
25-08-2023,Toys,West,person,1195.186107
30-11-2022,Home Appliances,Southeast,rather,3844.252572
18-12-2022,Toys,Midwest,hotel,497.5367108
13-02-2023,Books,Southwest,call,577.5007517
11-11-2022,Clothing,Northeast,hand,3829.89029
23-07-2023,Books,Southeast,thought,4393.579528
04-05-2023,Books,Northeast,training,7083.39467
16-09-2023,Books,West,back,1249.664553
22-03-2023,Electronics,West,local,8297.781763
04-08-2023,Clothing,Midwest,what,611.7993525
13-01-2023,Clothing,Midwest,interview,7254.655907
29-05-2023,Electronics,Midwest,everything,6217.398028
26-04-2023,Electronics,West,dog,454.7067325
20-08-2023,Toys,Northeast,ahead,5815.640739
25-07-2023,Toys,Midwest,opportunity,1479.604403
01-03-2023,Electronics,Northeast,question,7368.145229
16-07-2023,Toys,Northeast,matter,8334.871967
22-09-2023,Toys,Northeast,ago,1777.723917
07-08-2023,Books,Northeast,win,6260.733625
28-02-2023,Books,Northeast,even,8851.013746
10-05-2023,Clothing,Midwest,you,2402.944008
20-05-2023,Electronics,Midwest,catch,9501.63268
15-12-2022,Books,Northeast,really,5050.343129
23-09-2023,Books,Midwest,wonder,8461.269309
12-02-2023,Toys,Northeast,director,1328.063263
27-05-2023,Books,Southeast,record,7134.640907
13-02-2023,Electronics,West,important,8454.476418
01-06-2023,Home Appliances,Midwest,book,1885.418519
09-01-2023,Books,Southwest,also,1882.037321
14-12-2022,Home Appliances,Midwest,radio,6677.968963
25-03-2023,Toys,Midwest,member,3524.283901
25-06-2023,Clothing,Midwest,bed,3778.126075
13-09-2023,Clothing,West,professional,9320.092326
12-12-2022,Clothing,Southwest,term,8116.225005
14-04-2023,Electronics,Southwest,professor,2150.106174
13-07-2023,Clothing,Midwest,focus,617.3904031
16-08-2023,Home Appliances,West,lead,1024.661166
19-01-2023,Electronics,Northeast,eat,4196.401317
10-01-2023,Home Appliances,Southwest,myself,8369.576971
10-11-2022,Home Appliances,Midwest,car,5290.540534
11-07-2023,Electronics,Northeast,many,202.5179367
07-08-2023,Electronics,Midwest,military,6397.433571
08-10-2023,Electronics,West,share,7641.534189
